accountId,name,summonerName,participantId,win,item0,item1,item2,item3,item4,item5,item6,kills,deaths,assists,largestKillingSpree,largestMultiKill,killingSprees,longestTimeSpentLiving,doubleKills,tripleKills,quadraKills,pentaKills,unrealKills,totalDamageDealt,magicDamageDealt,physicalDamageDealt,trueDamageDealt,largestCriticalStrike,totalDamageDealtToChampions,magicDamageDealtToChampions,physicalDamageDealtToChampions,trueDamageDealtToChampions,totalHeal,totalUnitsHealed,damageSelfMitigated,damageDealtToObjectives,damageDealtToTurrets,visionScore,timeCCingOthers,totalDamageTaken,magicalDamageTaken,physicalDamageTaken,trueDamageTaken,goldEarned,goldSpent,turretKills,inhibitorKills,totalMinionsKilled,neutralMinionsKilled,neutralMinionsKilledTeamJungle,neutralMinionsKilledEnemyJungle,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,sightWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,combatPlayerScore,objectivePlayerScore,totalPlayerScore,totalScoreRank,playerScore0,playerScore1,playerScore2,playerScore3,playerScore4,playerScore5,playerScore6,playerScore7,playerScore8,playerScore9,perk0,perk0Var1,perk0Var2,perk0Var3,perk1,perk1Var1,perk1Var2,perk1Var3,perk2,perk2Var1,perk2Var2,perk2Var3,perk3,perk3Var1,perk3Var2,perk3Var3,perk4,perk4Var1,perk4Var2,perk4Var3,perk5,perk5Var1,perk5Var2,perk5Var3,perkPrimaryStyle,perkSubStyle,gameId
200394182,MJ,TheRoughead,1,TRUE,3042,3031,3072,3078,3158,3026,3340,10,8,15,4,2,2,982,1,0,0,0,0,285916,27046,255954,2915,1154,38432,14285,22806,1340,7617,2,948,0,10505,0,0,35962,13452,21245,1264,20860,17433,4,3,230,23,8,15,3,18,0,0,19,3,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,171522665
200394182,MJ,TheRoughead,6,TRUE,1052,3157,1056,3020,3802,3108,3340,5,3,3,2,1,2,697,0,0,0,0,0,87513,73141,14371,0,0,13826,13262,564,0,5905,1,0,0,0,0,0,14847,3577,10133,1137,9829,6935,2,1,94,0,0,0,370,14,0,0,9,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,169024763
200394182,MJ,TheRoughead,3,TRUE,3285,3157,3089,3020,3135,3100,3340,11,6,30,5,2,3,980,1,0,0,0,0,257590,229160,25537,2893,0,38178,34911,2280,987,5883,4,0,0,0,0,0,25310,5557,19047,705,20267,17800,0,2,214,13,7,6,408,18,0,0,8,1,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,166603014
200394182,MJ,TheRoughead,8,TRUE,3165,1056,3020,1026,1058,1052,3340,7,0,13,7,2,1,0,1,0,0,0,0,50863,27262,8600,15000,0,10724,10052,671,0,903,2,0,0,0,0,0,6269,2550,3429,290,8253,7035,3,0,37,0,0,0,327,11,0,0,5,0,FALSE,FALSE,TRUE,FALSE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,166594206
200394182,MJ,TheRoughead,1,TRUE,3071,1408,3134,3117,3742,1057,3340,5,5,11,4,2,1,1035,1,0,0,0,0,158769,31468,116283,11016,0,14139,3190,9901,1047,9871,1,0,0,0,0,0,42813,14000,28416,396,12686,11045,0,0,63,70,23,47,841,16,0,0,25,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,166556792
200394182,MJ,TheRoughead,6,TRUE,3068,3742,3111,3071,3065,3083,3340,20,3,8,14,2,2,1066,3,0,0,0,0,237064,43525,185251,8288,0,47850,9360,32436,6053,3244,1,0,0,0,0,0,51808,16519,32641,2647,20668,16300,4,0,242,28,16,12,236,18,0,0,13,3,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,159872012
200394182,MJ,TheRoughead,4,FALSE,2003,3006,1037,3086,1018,1042,3340,1,4,0,0,1,0,665,0,0,0,0,0,35378,985,34054,338,304,2186,108,1740,338,0,0,0,0,0,0,0,8502,5911,2591,0,6099,4525,0,0,61,4,4,0,30,11,0,0,0,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,159788234
200394182,MJ,TheRoughead,2,FALSE,3285,3157,3020,1056,3165,1033,3340,3,13,7,0,1,0,278,0,0,0,0,0,133296,121066,12229,0,0,23409,22716,692,0,4998,1,0,0,0,0,0,30364,19588,10379,396,11958,11250,0,0,163,0,0,0,405,16,0,0,15,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,159695515
200394182,MJ,TheRoughead,4,FALSE,3108,1056,3020,0,0,0,3340,1,1,0,0,1,0,297,0,0,0,0,0,19279,11187,7812,280,0,2969,1977,711,280,247,1,0,0,0,0,0,3435,1670,1754,10,4105,2600,0,0,38,0,0,0,221,8,0,0,1,0,FALSE,FALSE,FALSE,FALSE,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,159571482
200394182,MJ,TheRoughead,6,TRUE,2003,3157,3020,1056,3165,3285,3340,3,7,10,0,1,0,623,0,0,0,0,0,111215,97896,13153,166,0,9966,9405,539,22,8221,1,0,0,0,0,0,20485,9708,10596,180,11967,10750,0,1,110,14,6,8,318,16,0,0,8,0,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,159495604
200394182,MJ,TheRoughead,4,FALSE,3078,1055,3042,3072,3158,1037,3340,4,10,10,2,1,1,790,0,0,0,0,0,104223,17070,87153,0,0,18035,7425,10610,0,4404,4,0,0,0,0,0,25738,10963,13499,1276,12342,12258,0,0,157,0,0,0,3,16,0,0,9,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,159374905
200394182,MJ,TheRoughead,3,TRUE,3031,3033,3006,3046,3072,3026,3340,11,16,12,3,2,3,515,1,0,0,0,0,282052,9881,267505,4665,880,45521,2818,40676,2025,2482,1,0,0,0,0,0,52289,26073,25558,657,19165,17200,4,2,194,32,4,28,384,18,0,0,16,0,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,159241244
200394182,MJ,TheRoughead,8,FALSE,3165,2049,3020,1056,3285,3191,3340,4,9,14,3,1,1,390,0,0,0,0,0,93546,80482,13064,0,0,18380,16736,1644,0,2465,2,0,0,0,0,0,20704,8593,12050,60,10642,9700,0,0,81,4,3,1,213,14,0,0,25,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,159199294
200394182,MJ,TheRoughead,2,TRUE,2031,1041,0,0,0,0,3340,0,0,0,0,0,0,0,0,0,0,0,0,8696,91,7451,1154,0,0,0,0,0,683,1,0,0,0,0,0,1501,149,1352,0,1053,500,0,0,0,12,4,8,157,3,0,0,0,0,FALSE,FALSE,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,159189428
200394182,MJ,TheRoughead,4,FALSE,3068,1054,3071,3211,3111,1028,3340,1,5,3,0,1,0,520,0,0,0,0,0,153380,38245,114459,675,0,8691,1686,6329,675,317,1,0,0,0,0,0,28436,3440,22491,2503,10863,9350,1,0,227,8,8,0,52,16,0,0,11,0,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,159076088
200394182,MJ,TheRoughead,6,TRUE,3083,3065,3068,3111,3071,3742,3340,6,4,10,2,1,2,1065,0,0,0,0,0,240454,39225,197521,3708,0,25283,5118,17160,3004,669,1,0,0,0,0,0,45734,6959,34409,4366,18909,16500,3,0,283,28,20,8,124,18,0,0,18,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,158957391
200394182,MJ,TheRoughead,9,TRUE,2045,3401,3102,3117,3025,0,3340,5,5,16,3,2,1,523,1,0,0,0,0,40742,15457,16206,9078,0,12488,7119,4976,392,4885,4,0,0,0,0,0,24231,8308,15383,538,11327,10200,0,0,55,1,0,1,178,14,0,0,23,2,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,158947284
200394182,MJ,TheRoughead,1,TRUE,3071,1408,3134,3117,3742,1033,3340,8,6,11,3,2,3,596,1,0,0,0,0,102441,19617,75044,7778,0,12609,2658,9610,340,5010,1,0,0,0,0,0,26249,8018,17748,482,13352,10875,1,0,42,57,23,34,435,16,0,0,26,1,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,158942940
200394182,MJ,TheRoughead,6,FALSE,0,1054,3111,3071,3068,1011,3340,7,11,4,3,2,2,411,1,0,0,0,0,102541,22372,80023,145,0,14316,4029,10140,145,1364,1,0,0,0,0,0,31016,8071,20939,2005,10584,9000,0,0,129,4,4,0,82,15,0,0,13,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,158950830
200394182,MJ,TheRoughead,7,TRUE,2033,3077,3111,3071,3742,3082,3340,3,11,19,0,1,0,593,0,0,0,0,0,100489,6065,93335,1088,0,10858,1885,8973,0,2615,3,0,0,0,0,0,29681,9888,19191,602,12517,9800,3,0,84,12,9,3,75,15,0,0,11,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,158477523
200394182,MJ,TheRoughead,1,FALSE,0,3157,3020,3285,1058,3100,3340,6,11,20,4,1,2,329,0,0,0,0,0,187712,164469,22981,261,0,25223,21556,3406,261,2362,1,0,0,0,0,0,30854,13397,16789,668,14747,12350,0,0,210,3,3,0,285,18,0,0,7,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,158166601
200394182,MJ,TheRoughead,6,FALSE,1038,3086,3009,1055,3133,1018,3340,1,6,3,0,1,0,689,0,0,0,0,0,60263,2499,57763,0,458,5318,834,4483,0,929,3,0,0,0,0,0,13972,6312,7149,510,6501,6100,0,0,90,11,2,9,83,12,0,0,5,0,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,158156011
200394182,MJ,TheRoughead,3,FALSE,3075,3814,1408,3117,3742,3102,3340,15,11,25,4,1,4,988,0,0,0,0,0,204382,72541,123863,7978,149,37162,10836,25381,944,10478,1,0,0,0,0,0,50564,16988,33089,486,18279,14125,0,0,103,42,18,24,702,18,0,0,32,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,158125721
200394182,MJ,TheRoughead,3,FALSE,3031,1055,3094,3006,1053,1036,3340,3,5,8,2,1,1,820,0,0,0,0,0,98431,3145,94483,802,918,13930,708,12796,426,971,2,0,0,0,0,0,15358,4587,10538,232,9812,9200,1,0,117,12,4,8,86,14,0,0,7,1,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,157651729
200394182,MJ,TheRoughead,6,TRUE,1031,3074,1408,3134,3742,3117,3340,5,7,12,2,2,2,832,2,0,0,0,0,123561,21342,94646,7572,0,16174,2014,13901,258,6237,1,0,0,0,0,0,36370,11839,23663,868,13236,11625,0,0,61,53,28,25,435,16,0,0,26,2,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,157386225
